State,2022,2025,Count
ACT,ALP,ALP,3
NSW,ALP,ALP,26
NSW,IND,IND,4
NSW,LP,ALP,2
NSW,LP,IND,1
NSW,LP,LP,6
NSW,NP,IND,1
NSW,NP,NP,6
NT,ALP,ALP,2
QLD,ALP,ALP,5
QLD,GRN,ALP,2
QLD,GRN,GRN,1
QLD,KAP,KAP,1
QLD,LNP,ALP,4
QLD,LNP,LNP,16
QLD,LP,ALP,1
SA,ALP,ALP,6
SA,LP,ALP,1
SA,LP,LP,2
SA,XEN,XEN,1
TAS,ALP,ALP,2
TAS,IND,IND,1
TAS,LP,ALP,2
VIC,ALP,ALP,23
VIC,GRN,ALP,1
VIC,IND,IND,2
VIC,IND,LP,1
VIC,LP,ALP,3
VIC,LP,LP,5
VIC,NP,NP,3
WA,ALP,ALP,9
WA,IND,IND,1
WA,LP,ALP,1
WA,LP,LP,4
WA,New,ALP,1
