Row,ID,Year,Party,Num
1,1,2004,ALP,55
2,2,2004,ALP,2
3,3,2004,CLP,1
4,4,2004,IND,2
5,5,2004,IND,1
6,6,2004,LP,21
7,7,2004,LP,50
8,8,2004,NP,2
9,9,2004,NP,9
10,10,2004,,1
11,11,2004,,5
12,12,2007,ALP,67
13,13,2007,ALP,1
14,14,2007,ALP,1
15,15,2007,ALP,1
16,16,2007,ALP,7
17,17,2007,ALP,3
18,18,2007,IND,2
19,19,2007,LP,3
20,20,2007,LP,10
21,21,2007,LP,38
22,22,2007,LP,1
23,23,2007,NP,1
24,24,2007,NP,3
25,25,2007,NP,6
26,26,2007,,1
27,27,2007,,4
28,28,2010,ALP,53
29,29,2010,ALP,2
30,30,2010,ALP,14
31,31,2010,ALP,1
32,32,2010,CLP,1
33,33,2010,GRN,1
34,34,2010,IND,1
35,35,2010,IND,1
36,36,2010,IND,2
37,37,2010,LNQ,19
38,38,2010,LNQ,1
39,39,2010,LNQ,1
40,40,2010,LP,1
41,41,2010,LP,40
42,42,2010,NP,1
43,43,2010,NP,6
44,44,2010,,4
45,45,2013,ALP,52
46,46,2013,ALP,1
47,47,2013,CLP,1
48,48,2013,GRN,1
49,49,2013,IND,2
50,50,2013,KAP,1
51,51,2013,LNP,2
52,52,2013,LNP,19
53,53,2013,LP,12
54,54,2013,LP,42
55,55,2013,LP,1
56,56,2013,LP,1
57,57,2013,NP,9
58,58,2013,PUP,1
59,59,2013,,1
60,60,2013,,3
61,61,2016,ALP,63
62,62,2016,ALP,2
63,63,2016,ALP,3
64,64,2016,GRN,1
65,65,2016,IND,2
66,66,2016,KAP,1
67,67,2016,LNP,20
68,68,2016,LP,3
69,69,2016,LP,1
70,70,2016,LP,39
71,71,2016,NP,10
72,72,2016,XEN,1
73,73,2016,,1
74,74,2016,,2
75,75,2019,ALP,65
76,76,2019,ALP,1
77,77,2019,ALP,1
78,78,2019,GRN,1
79,79,2019,IND,3
80,80,2019,KAP,1
81,81,2019,LNP,2
82,82,2019,LNP,20
83,83,2019,LP,9
84,84,2019,LP,5
85,85,2019,LP,28
86,86,2019,NP,10
87,87,2019,XEN,1
88,88,2019,,1
89,89,2019,,1
90,90,2022,ALP,75
91,91,2022,GRN,3
92,92,2022,GRN,1
93,93,2022,IND,8
94,94,2022,IND,1
95,95,2022,KAP,1
96,96,2022,LNP,4
97,97,2022,LNP,16
98,98,2022,LP,10
99,99,2022,LP,1
100,100,2022,LP,17
101,101,2022,NP,1
102,102,2022,NP,9
103,103,2022,XEN,1
104,104,2022,,1
1,1,2007,ALP,55
2,2,2007,LP,2
3,3,2007,ALP,1
4,4,2007,IND,2
5,5,2007,NP,1
6,6,2007,ALP,21
7,7,2007,LP,50
8,8,2007,ALP,2
9,9,2007,NP,9
10,10,2007,ALP,1
11,11,2007,,5
12,12,2010,ALP,67
13,13,2010,CLP,1
14,14,2010,GRN,1
15,15,2010,IND,1
16,16,2010,LNQ,7
17,17,2010,LP,3
18,18,2010,IND,2
19,19,2010,ALP,3
20,20,2010,LNQ,10
21,21,2010,LP,38
22,22,2010,NP,1
23,23,2010,IND,1
24,24,2010,LNQ,3
25,25,2010,NP,6
26,26,2010,LNQ,1
27,27,2010,,4
28,28,2013,ALP,53
29,29,2013,LNP,2
30,30,2013,LP,14
31,31,2013,NP,1
32,32,2013,CLP,1
33,33,2013,GRN,1
34,34,2013,IND,1
35,35,2013,KAP,1
36,36,2013,NP,2
37,37,2013,LNP,19
38,38,2013,LP,1
39,39,2013,PUP,1
40,40,2013,IND,1
41,41,2013,LP,40
42,42,2013,LP,1
43,43,2013,NP,6
44,44,2013,,4
45,45,2016,ALP,52
46,46,2016,LP,1
47,47,2016,ALP,1
48,48,2016,GRN,1
49,49,2016,IND,2
50,50,2016,KAP,1
51,51,2016,ALP,2
52,52,2016,LNP,19
53,53,2016,ALP,12
54,54,2016,LP,42
55,55,2016,NP,1
56,56,2016,XEN,1
57,57,2016,NP,9
58,58,2016,LNP,1
59,59,2016,ALP,1
60,60,2016,,3
61,61,2019,ALP,63
62,62,2019,LNP,2
63,63,2019,LP,3
64,64,2019,GRN,1
65,65,2019,IND,2
66,66,2019,KAP,1
67,67,2019,LNP,20
68,68,2019,ALP,3
69,69,2019,IND,1
70,70,2019,LP,39
71,71,2019,NP,10
72,72,2019,XEN,1
73,73,2019,ALP,1
74,74,2019,,2
75,75,2022,ALP,65
76,76,2022,GRN,1
77,77,2022,IND,1
78,78,2022,GRN,1
79,79,2022,IND,3
80,80,2022,KAP,1
81,81,2022,GRN,2
82,82,2022,LNP,20
83,83,2022,ALP,9
84,84,2022,IND,5
85,85,2022,LP,28
86,86,2022,NP,10
87,87,2022,XEN,1
88,88,2022,ALP,1
89,89,2022,,1
90,90,2025,ALP,75
91,91,2025,ALP,3
92,92,2025,GRN,1
93,93,2025,IND,8
94,94,2025,LP,1
95,95,2025,KAP,1
96,96,2025,ALP,4
97,97,2025,LNP,16
98,98,2025,ALP,10
99,99,2025,IND,1
100,100,2025,LP,17
101,101,2025,IND,1
102,102,2025,NP,9
103,103,2025,XEN,1
104,104,2025,ALP,1
