No.,Surname,GivenName,Party,StartDate,EndDate,Length,MethodOfDeparture
1,Barton,Edmund,PROT,1/01/1901,24/09/1903,"2 years, 8 months, 24 days",Appointed Justice of High Court
2,Deakin,Alfred,PROT,24/09/1903,27/04/1904,"7 months, 4 days",Resigned Following House Amendment of Conciliation and Arbitration Bill
3,Watson,John Christian,ALP,27/04/1904,17/08/1904,"3 months, 21 days",Resigned Following House Amendment of Conciliation and Arbitration Bill and Governor-General’s Refusal To Dissolve House
4,Reid,George Houston,FT,18/08/1904,5/07/1905,"10 months, 18 days",Resigned Following House Amendment of Address-In-Reply and Governor-General’s Refusal to Dissolve House
,Deakin,Alfred,PROT,5/07/1905,13/11/1908,"3 years, 4 months, 9 days",Defeated on Floor of House
5,Fisher,Andrew,ALP,13/11/1908,2/06/1909,"6 months, 21 days",Resigned Following Defeat on Floor of House and Governor-General’s Refusal to Dissolve House
,Deakin,Alfred,LIB,2/06/1909,29/04/1910,"10 months, 28 days",Defeated at General Election
,Fisher,Andrew,ALP,29/04/1910,24/06/1913,"3 years, 1 month, 26 days",Defeated at General Election
6,Cook,Joseph,LIB,24/06/1913,17/09/1914,"1 year, 2 months, 25 days",Defeated at General Election
,Fisher,Andrew,ALP,17/09/1914,27/10/1915,"1 year, 1 month, 11 days","Resigned, Appointed High Commissioner to London"
7,Hughes,William Morris,ALP,27/10/1915,14/11/1916,"1 year, 18 days",Expelled from Labor Party
,Hughes,William Morris,NAT,14/11/1916,9/02/1923,"6 years, 2 months, 26 days",Country Party vetoed Hughes as PM in coalition
8,Bruce,Stanley Melbourne,NAT,9/02/1923,22/10/1929,"6 years, 8 months, 14 days",Defeated and Lost Seat at General Election
9,Scullin,James Henry,ALP,22/10/1929,6/01/1932,"2 years, 2 months, 16 days",Defeated at General Election Following Party Split
10,Lyons,Joseph Aloysius,UAP,6/01/1932,7/04/1939,"7 years, 3 months, 2 days",Died in Office
11,Page,Earle Christmas Grafton,CP,7/04/1939,26/04/1939,20 days,Relinquished Position to new UAP Leader
12,Menzies,Robert Gordon,UAP,26/04/1939,29/08/1941,"2 years, 4 months, 4 days",Resigned
13,Fadden,Arthur William,CP,29/08/1941,7/10/1941,"1 month, 9 days",Defeated on Floor of House
14,Curtin,John,ALP,7/10/1941,5/07/1945,"3 years, 8 months, 29 days",Died in Office
15,Forde,Francis Michael,ALP,6/07/1945,13/07/1945,8 days,Relinquished Position to New ALP Leader
16,Chifley,Joseph Benedict,ALP,13/07/1945,19/12/1949,"4 years, 5 months, 7 days",Defeated at General Election
,Menzies,Robert Gordon,LIB,19/12/1949,26/01/1966,"16 years, 1 month, 7 days",Retired
17,Holt,Harold Edward,LIB,26/01/1966,19/12/1967,"1 year, 10 months, 23 days","Missing, Presumed Drowned"
18,McEwen,John,CP,19/12/1967,10/01/1968,23 days,Relinquished Position to New Liberal Leader
19,Gorton,John Grey,LIB,10/01/1968,10/03/1971,"3 years, 2 months",Technically resigned as leader but effectively deposed
20,McMahon,William,LIB,10/03/1971,5/12/1972,"1 year, 8 months, 25 days",Defeated at General Election
21,Whitlam,Edward Gough,ALP,5/12/1972,11/11/1975,"2 years, 11 months, 7 days",Commission Terminated by Governor-General
22,Fraser,John Malcolm,LIB,11/11/1975,11/03/1983,"7 years, 4 months",Defeated at General Election
23,Hawke,Robert James Lee,ALP,11/03/1983,20/12/1991,"8 years, 9 months, 9 days",Deposed as Party Leader
24,Keating,Paul John,ALP,20/12/1991,11/03/1996,"4 years, 2 months, 20 days",Defeated at General Election
25,Howard,John Winston,LIB,11/03/1996,3/12/2007,"11 years, 8 months, 22 days",Defeated and Lost Seat at General Election
26,Rudd,Kevin Michael,ALP,3/12/2007,24/06/2010,"2 years, 6 months, 21 days",Deposed as Party Leader
27,Gillard,Julia Eileen,ALP,24/06/2010,27/06/2013,"3 years, 3 days",Deposed as Party Leader
,Rudd,Kevin Michael,ALP,27/06/2013,18/09/2013,"2 months, 22 days",Defeated at General Election
28,Abbott,Anthony John,LIB,18/09/2013,15/09/2015,"1 year, 11 months, 28 days",Deposed as Party Leader
29,Turnbull,Malcolm Bligh,LIB,15/09/2015,24/08/2018,"2 years, 11 months, 9 days",Deposed as Party Leader
30,Morrison,Scott John,LIB,24/08/2018,23/05/2022,"3 years, 8 months, 30 days",Defeated at General Election
31,Albanese,Anthony Norman,ALP,23/05/2022,–,–,–
