PartyAb,Party,TotalVotes,TotalPercentage,Seats Elected,Year,TotalSeats,Percentage Elected,Annotation1,Annotation2
ALP,Australian Labor Party,5573028,35.11,16,2025,40,0.4,,
LP,Liberal-National Coalition,892188,5.62,13,2025,40,0.325,,
GRN,Australian Greens,1859974,11.72,6,2025,40,0.15,,
ON,Pauline Hanson's One Nation,899296,5.67,3,2025,40,0.075,,
DAVI,David Pocock,114915,0.72,1,2025,40,0.025,,
JLN,Jacqui Lambie Network,166085,1.05,1,2025,40,0.025,,
FFP,Family First Party,236728,1.49,0,2025,40,0,,
UNAM,Independent,36245,0.23,0,2025,40,0,,
LP,Liberal-National Coalition,1052571,7,15,2022,40,0.375,,
ALP,Australian Labor Party,4525598,30.09,15,2022,40,0.375,,
DHJP,Derryn Hinch's Justice Party,54366,0.36,0,2022,40,0,,
GRN,Australian Greens,1903403,12.66,6,2022,40,0.15,,
ON,Pauline Hanson's One Nation,644744,4.29,1,2022,40,0.025,,
JLN,Jacqui Lambie Network,31203,0.21,1,2022,40,0.025,,
LDP,Liberal Democratic Party,340132,2.26,0,2022,40,0,,
UAPP,Palmer United Australia Party,520520,3.46,1,2022,40,0.025,,
DAVI,David Pocock,60406,0.4,1,2022,40,0.025,,
UNAM,Independent,136054,0.9,0,2022,40,0,,
LP,Liberal-National Coalition,1204039,8.24,19,2019,40,0.475,,
ALP,Australian Labor Party,2804018,19.2,13,2019,40,0.325,,"The Australian Labor Party saw a decline in #popularity in the late 2000s and early 2010s, #but has been slowly increasing in recent years."
GRN,Australian Greens,1488427,10.19,6,2019,40,0.15,,
XEN,Centre Alliance,28416,0.19,0,2019,40,0,,
DLP,Democratic Labour Party,149970,1.03,0,2019,40,0,,
ON,Pauline Hanson's One Nation,788203,5.4,1,2019,40,0.025,,
DHJP,Derryn Hinch's Justice Party,105459,0.72,0,2019,40,0,,
LDP,Liberal Democratic Party,169735,1.16,0,2019,40,0,,
UAPP,Palmer United Australia Party,345199,2.36,0,2019,40,0,,
JLN,Jacqui Lambie Network,31383,0.21,1,2019,40,0.025,,
UNAM,Independent,60019,0.41,0,2019,40,0,,
DHJP,Derryn Hinch's Justice Party,266660,1.93,1,2016,76,0.013157895,,
FFP,Family First Party,189852,1.37,1,2016,76,0.013157895,,
DLP,Democratic Labour Party,94525,0.68,0,2016,76,0,,
LP,Liberal-National Coalition,1067286,7.71,30,2016,76,0.394736842,,
ALP,Australian Labor Party,4123153,29.79,26,2016,76,0.342105263,,
GRN,Australian Greens,1197690,8.65,9,2016,76,0.118421053,,
PUP,Palmer United Australia Party,26230,0.19,0,2016,76,0,,
LDP,Liberal Democratic Party,298930,2.16,1,2016,76,0.013157895,,
XEN,Centre Alliance,456556,3.3,3,2016,76,0.039473684,,
AMEP,Australian Motoring Enthusiast Party,53242,0.38,0,2016,76,0,,
JLN,Jacqui Lambie Network,69074,0.5,1,2016,76,0.013157895,,
ON,Pauline Hanson's One Nation,592539,4.28,4,2016,76,0.052631579,"In more recent years, minor parties #have begun to win more seats.",
UNAM,Independent,25288,0.18,0,2016,76,0,,
FFP,Family First Party,149306,1.11,1,2013,40,0.025,,
ALP,Australian Labor Party,4038591,30.11,12,2013,40,0.3,,
LP,Liberal-National Coalition,1006710,7.51,17,2013,40,0.425,,
GRN,Australian Greens,1159588,8.65,4,2013,40,0.1,,
XEN,Centre Alliance,258376,1.93,1,2013,40,0.025,,
PUP,Palmer United Australia Party,658976,4.91,2,2013,40,0.05,,
LDP,Liberal Democrats,523831,3.91,1,2013,40,0.025,,
AMEP,Australian Motoring Enthusiast Party,67560,0.5,1,2013,40,0.025,,
ON,Pauline Hanson's One Nation,70851,0.53,0,2013,40,0,,
SPRT,Australian Sports Party,2997,0.02,1,2013,40,0.025,,
UNAM,Independent,15911,0.12,0,2013,40,0,,
DLP,Democratic Labour Party,112549,0.84,0,2013,40,0,,
ALP,Australian Labor Party,4469734,35.13,15,2010,40,0.375,,
GRN,Australian Greens,1667315,13.11,6,2010,40,0.15,"Since 2010, the Australian Greens have #maintained relatively consistent popularity.",
DLP,Democratic Labour Party,134987,1.06,1,2010,40,0.025,,
LP,Liberal-National Coalition,1092601,8.59,18,2010,40,0.45,,
ON,Pauline Hanson's One Nation,70672,0.56,0,2010,40,0,,
LDP,Liberal Democratic Party,230191,1.81,0,2010,40,0,,
UNAM,Independent,55786,0.44,0,2010,40,0,,
FFP,Family First Party,267493,2.1,0,2010,40,0,,
ALP,Australian Labor Party,5101200,40.3,18,2007,40,0.45,,
LP,Liberal-National Coalition,1110366,8.77,18,2007,40,0.45,"In the last 2 decades, the popularity of the Liberal-National #Coalition has been gradually declining.",
GRN,Australian Greens,1144751,9.04,3,2007,40,0.075,,
ON,Pauline Hanson's One Nation,52708,0.42,0,2007,40,0,,
UNAM,Independent,174458,1.38,1,2007,40,0.025,,
DLP,Democratic Labour Party,115966,0.92,0,2007,40,0,,
FFP,Family First Party,204788,1.62,0,2007,40,0,,
ALP,Australian Labor Party,4186715,35.02,16,2004,40,0.4,,
LP,Liberal-National Coalition,2109978,17.65,21,2004,40,0.525,,
ON,Pauline Hanson's One Nation,206455,1.73,0,2004,40,0,,
FFP,Family First Party,210567,1.76,1,2004,40,0.025,,
GRN,Australian Greens,916431,7.67,2,2004,40,0.05,,
DLP,Democratic Labour Party,58042,0.49,0,2004,40,0,,
UNAM,Independent,180385,1.51,0,2004,40,0,,
